kalimat,kata,entitas,postag
356,dengan,O,IN
356,petani,O,NN
356,",",O,Z
356,namun,O,CC
356,tak,O,NEG
356,satu,O,CD
356,pun,O,RP
356,yang,O,SC
356,memperkuat,O,VB
356,petani,O,NN
356,gurem,O,NN
356,atau,O,CC
356,buruh,O,NN
356,tani,O,VB
356,.,O,Z
357,Peraturan-peraturan,O,NN
357,itu,O,PR
357,malah,O,VB
357,meliberalisasi,O,NN
357,pertanian,O,NN
357,sembari,O,NN
357,menggelar,O,NN
357,karpet,O,NN
357,merah,O,JJ
357,bagi,O,IN
357,korporasi,O,NN
357,besar,O,JJ
357,.,O,Z
358,"""",O,Z
358,Korbannya,O,NNP
358,telah,O,MD
358,bermunculan,O,VB
358,",",O,Z
358,"""",O,Z
358,kata,O,VB
358,Eva,PER,NNP
358,.,O,Z
359,Antara,O,NN
359,lain,O,JJ
359,",",O,Z
359,12,O,CD
359,petani,O,NN
359,di,O,IN
359,Kediri,LOC,NNP
359,",",LOC,Z
359,Jawa,LOC,NNP
359,Timur,LOC,NNP
359,",",O,Z
359,yang,O,SC
359,masuk,O,VB
359,penjara,O,NN
359,akibat,O,NN
359,mengembangkan,O,VB
359,bibit,O,NN
359,.,O,Z
360,Mereka,O,PRP
360,terjerat,O,NN
360,Undang-undang,O,NNP
360,Pengembangan,O,NNP
360,Budidaya,O,NNP
360,Tanaman,O,NNP
360,",",O,Z
360,yang,O,SC
360,disebut,O,VB
360,Eva,PER,NNP
360,",",O,Z
360,membuat,O,VB
360,budidaya,O,NN
360,bibit,O,NN
360,dimonopoli,O,NN
360,perusahaan,O,NN
360,.,O,Z
361,Pasalnya,O,RB
361,",",O,Z
361,bibit,O,NN
361,harus,O,MD
361,diuji,O,VB
361,di,O,IN
361,laboratorium,O,NN
361,.,O,Z
362,Selain,O,IN
362,itu,O,PR
362,",",O,Z
362,ada,O,VB
362,pula,O,RB
362,sejumlah,O,CD
362,undang-undang,O,NN
362,di,O,IN
362,bidang,O,NN
362,energi,O,NN
362,yang,O,SC
362,disahkan,O,VB
362,selepas,O,VB
362,reformasi,O,NN
362,1998,O,CD
362,.,O,Z
363,Beleid-beleid,O,NNP
363,itu,O,PR
363,menyebabkan,O,VB
363,Indonesia,O,NNP
363,tak,O,NEG
363,punya,O,VB
363,kedaulatan,O,NN
363,energi,O,NN
363,.,O,Z
364,"""",O,Z
364,Sekitar,O,IN
364,70,O,CD
364,persen,O,CD
364,energi,O,NN
364,kita,O,PRP
364,sekarang,O,NN
364,dikuasai,O,VB
364,asing,O,JJ
364,",",O,Z
364,kita,O,PRP
364,bodoh-bodoh,O,VB
364,saja,O,RB
364,membuat,O,VB
364,undang-undang,O,NN
364,yang,O,SC
364,merugikan,O,VB
364,",",O,Z
364,"""",O,Z
364,ucapnya,O,RB
364,.,O,Z
365,Begitu,O,PR
365,juga,O,RB
365,dengan,O,IN
365,undang-undang,O,NN
365,perdagangan,O,NN
365,yang,O,SC
365,dinilai,O,VB
365,tak,O,NEG
365,memperkuat,O,VB
365,kedaulatan,O,NN
365,Indonesia,O,NNP
365,.,O,Z
366,Hal,O,NN
366,itu,O,PR
366,terlihat,O,VB
366,",",O,Z
366,antar,O,IN
366,a,O,NN
366,lain,O,JJ
366,",",O,Z
366,dengan,O,SC
366,tidak,O,NEG
366,adanya,O,NN
366,perlindungan,O,NN
366,sama,O,JJ
366,sekali,O,RB
366,terhadap,O,IN
366,pasar,O,NN
366,tradisional,O,JJ
366,.,O,Z
367,Padahal,O,CC
367,",",O,Z
367,negara,O,NN
367,neoliberal,O,JJ
367,seperti,O,IN
367,Korea,O,NNP
367,Selatan,O,NNP
367,saja,O,RB
367,membatasi,O,VB
367,pasar,O,NN
367,modern,O,JJ
367,cuma,O,RB
367,boleh,O,MD
367,mengambil,O,VB
367,"2,5",O,CD
367,persen,O,CD
367,dari,O,IN
367,pangsa,O,NN
367,pasar,O,NN
367,nasional,O,JJ
367,.,O,Z
368,Belum,O,NEG
368,lagi,O,RB
368,paket,O,NN
368,Undang-undang,O,NNP
368,Keuangan,O,NNP
368,",",O,Z
368,termasuk,O,VB
368,undang-undang,O,NN
368,di,O,IN
368,sektor,O,NN
368,perbankan,O,NN
368,",",O,Z
368,yang,O,SC
368,sangat,O,RB
368,memudahkan,O,VB
368,bank,O,NN
368,asing,O,JJ
368,beroperasi,O,VB
368,di,O,IN
368,Indonesia,O,NNP
368,.,O,Z
369,Hal,O,NN
369,itu,O,PR
369,berbeda,O,VB
369,dengan,O,IN
369,peraturan,O,NN
369,di,O,IN
369,Malaysia,O,NNP
369,yang,O,SC
369,secara,O,IN
369,internal,O,JJ
369,melindungi,O,VB
369,perbankannya,O,RB
369,dengan,O,IN
369,sederet,O,NN
369,diskresi,O,NN
369,.,O,Z
370,"""",O,Z
370,Ini,O,PR
370,problem,O,NN
370,integritas,O,NN
370,bangsa,O,NN
370,karena,O,SC
370,tidak,O,NEG
370,pernah,O,MD
370,menggunakan,O,VB
370,konstitusi,O,NN
370,sebagai,O,IN
370,panduan,O,NN
370,",",O,Z
370,"""",O,Z
370,kata,O,VB
370,Eva,PER,NNP
370,.,O,Z
371,Akibatnya,O,RB
371,",",O,Z
371,ia,O,PRP
371,menegaskan,O,VB
371,",",O,Z
371,"""",O,Z
371,Kita,O,PRP
371,tidak,O,NEG
371,menjadi,O,VB
371,tuan,O,NN
371,di,O,IN
371,bangsa,O,NN
371,sendiri,O,NN
371,",",O,Z
371,tapi,O,CC
371,malah,O,MD
371,menjadi,O,VB
371,kuli,O,VB
371,bangsa-bangsa,O,NN
371,lain,O,JJ
371,.,O,Z
371,"""",O,Z
372,Partai,ORG,NNP
372,Persatuan,ORG,NNP
372,Pembangunan,ORG,NNP
372,(,ORG,Z
372,PPP,ORG,NNP
372,),ORG,Z
372,menyatakan,O,VB
372,keyakinannya,O,NN
372,bahwa,O,SC
372,dua,O,CD
372,menteri,O,NN
372,asal,O,NN
372,partai,O,NN
372,berlambang,O,NN
372,Ka'bah,O,NN
372,tersebut,O,PR
372,"""",O,Z
372,aman,O,JJ
372,"""",O,Z
372,dari,O,IN
372,reshuffle,O,FW
372,.,O,Z
373,Wacana,O,NNP
373,reshuffle,O,NNP
373,mengemuka,O,VB
373,sejak,O,IN
373,menjelang,O,NN
373,setahun,O,NN
373,usia,O,NN
373,pemerintahan,O,NN
373,SBY-Boediono,O,NNP
373,.,O,Z
374,Dalam,O,IN
374,Kabinet,O,NN
374,Indonesia,O,NNP
374,Bersatu,O,NNP
374,II,O,NNP
374,",",O,Z
374,PPP,ORG,NNP
374,menempatkan,O,VB
374,dua,O,CD
374,menterinya,O,NN
374,",",O,Z
374,yaitu,O,SC
374,Menteri,O,NNP
374,Agama,O,NNP
374,Suryadharma,PER,NNP
374,Ali,PER,NNP
374,dan,O,CC
374,Menteri,O,NNP
374,Perumahan,O,NNP
374,Suharso,PER,NNP
374,Manoarfa,PER,NNP
374,.,O,Z
375,Sekjen,O,NNP
375,PPP,O,NNP
375,Irgan,PER,NNP
375,Chairul,PER,NNP
375,Mahfidz,PER,NNP
375,mengatakan,O,VB
375,",",O,Z
375,kedua,O,CD
375,menteri,O,NN
375,asal,O,NN
375,partainya,O,NN
375,berkinerja,O,NN
375,baik,O,JJ
375,.,O,Z
376,"""",O,Z
376,Tidak,O,NEG
376,ada,O,VB
376,alasan,O,NN
376,bagi,O,IN
376,Presiden,O,NNP
376,me-reshuffle,O,NNP
376,menteri,O,NNP
376,dari,O,IN
376,PPP,ORG,NNP
376,.,O,Z
376,Karena,O,SC
376,kita,O,PRP
376,(,O,Z
376,menteri,O,NN
376,asal,O,NN
376,PPP,O,NNP
376,),O,Z
376,tidak,O,NEG
376,di,O,IN
376,bawah,O,NN
376,standar,O,NN
376,",",O,Z
376,"""",O,Z
376,kata,O,VB
376,Irgan,PER,NN
376,",",O,Z
376,Jumat,TIM,NNP
376,(,TIM,Z
376,21/10/2010,TIM,CD
376,),TIM,Z
376,di,O,IN
376,Gedung,LOC,NNP
376,DPR,LOC,NNP
376,",",LOC,Z
376,Jakarta,LOC,NNP
376,.,O,Z
377,Menurut,O,IN
377,Irgan,PER,NNP
377,",",O,Z
377,mengutip,O,VB
377,pernyataan,O,NN
377,Presiden,O,NNP
377,",",O,Z
377,menteri,O,NN
377,yang,O,SC
377,bisa,O,MD
377,meningkatkan,O,VB
377,standar,O,NN
377,kinerjanya,O,RB
377,tidak,O,NEG
377,akan,O,MD
377,di-reshuffle,O,FW
377,.,O,Z
378,"""",O,Z
378,Ini,O,PR
378,harus,O,MD
378,jadi,O,VB
378,perhatian,O,NN
378,para,O,DT
378,menteri,O,NN
378,untuk,O,SC
378,meningkatkan,O,VB
378,kinerjanya,O,RB
378,.,O,Z
378,Kalau,O,NNP
378,PPP,ORG,NNP
378,kan,O,RP
378,menterinya,O,RB
378,baik,O,JJ
378,.,O,Z
378,Ukuran-ukuran,O,NN
378,itu,O,PR
378,harus,O,MD
378,menjadi,O,VB
378,pertimbangan,O,NN
378,.,O,Z
378,Saya,O,PRP
378,yakin,O,JJ
378,tidak,O,NEG
378,akan,O,MD
378,di-reshuffle,O,FW
378,",",O,Z
378,termasuk,O,VB
378,Menteri,O,NNP
378,Agama,O,NNP
378,dan,O,CC
378,Menteri,O,NNP
378,Perumahan,O,NNP
378,",",O,Z
378,"""",O,Z
378,ujarnya,O,RB
378,.,O,Z
379,Ia,O,PRP
379,menilai,O,VB
379,",",O,Z
379,akan,O,MD
379,adil,O,JJ
379,jika,O,SC
379,Presiden,O,NNP
379,melakukan,O,VB
379,reshuffle,O,FW
379,dengan,O,SC
379,berdasarkan,O,VB
379,pertimbangan,O,NN
379,atas,O,IN
379,evaluasi,O,NN
379,menteri,O,NN
379,yang,O,SC
379,kinerjanya,O,RB
379,kurang,O,RB
379,baik,O,JJ
379,.,O,Z
380,Siapa,O,CD
380,menteri,O,NN
380,yang,O,SC
380,dianggap,O,VB
380,PPP,O,NNP
380,tak,O,NEG
380,berkinerja,O,VB
380,baik?,O,NN
380,"""",O,Z
380,Saya,O,PRP
380,tidak,O,NEG
380,mau,O,MD
380,menunjuk,O,VB
380,nama,O,NN
380,",",O,Z
380,tapi,O,CC
380,saya,O,PRP
380,melihat,O,VB
380,ada,O,VB
380,tuntutan,O,NN
380,besar,O,JJ
380,agar,O,SC
380,komponen,O,NN
380,di,O,IN
380,kabinet,O,NN
380,harus,O,MD
380,diperbaiki,O,VB
380,.,O,Z
380,Ketika,O,SC
380,ada,O,VB
380,kekurangan,O,NN
380,menteri,O,NN
380,tertentu,O,PR
380,",",O,Z
380,ya,O,NN
380,Presiden,O,NN
380,mengevaluasi,O,NN
380,.,O,Z
380,Apakah,O,NNP
380,berujung,O,VB
380,pada,O,IN
380,reshuffle,O,FW
380,atau,O,CC
380,tidak,O,NEG
380,",",O,Z
380,terserah,O,NN
380,Presiden,O,NNP
380,",",O,Z
380,"""",O,Z
380,kata,O,VB
380,Irgan,PER,NN
380,.,O,Z
381,Anggota,O,NN
381,Komisi,O,NNP
381,X,O,NNP
381,DPR,O,NNP
381,dari,O,IN
381,Partai,ORG,NNP
381,Demokrat,ORG,NNP
381,",",O,Z
381,Vena,PER,NNP
381,Melinda,PER,NNP
381,",",O,Z
381,mendukung,O,VB
381,penerapan,O,NN
381,tata,O,NN
381,tertib,O,NN
381,pelarangan,O,NN
381,rok,O,NN
381,mini,O,NN
381,atau,O,CC
381,pakaian,O,NN
381,seksi,O,NN
381,bagi,O,IN
381,staf,O,NN
381,dan,O,CC
381,anggota,O,NN
381,di,O,IN
381,lingkungan,LOC,NN
381,DPR,LOC,NNP
381,.,O,Z
382,"""",O,Z
382,Kalau,O,SC
382,saya,O,PRP
382,sih,O,MD
382,setuju,O,VB
382,banget,O,NN
382,.,O,Z
382,Karena,O,NNP
382,",",O,Z
382,kalau,O,SC
382,kita,O,PRP
382,lihat,O,VB
382,",",O,Z
382,bukan,O,NEG
382,hanya,O,RB
382,pakaian,O,NN
382,saja,O,RB
382,",",O,Z
382,tapi,O,CC
382,kerbersihan,O,NN
382,juga,O,RB
382,mengganggu,O,VB
382,",",O,Z
382,misal,O,NN
382,kalau,O,SC
382,orang,O,NN
382,merokok,O,NN
382,",",O,Z
382,"""",O,Z
382,ujar,O,VB
382,Vena,PER,NNP
382,di,O,IN
382,Gedung,LOC,NNP
382,Nusantara,LOC,NNP
382,II,LOC,NNP
382,komplek,LOC,NNP
382,DPR,LOC,NNP
382,",",O,Z
382,Jakarta,TIM,NNP
382,",",TIM,Z
382,Selasa,TIM,NNP
382,(,TIM,Z
382,6/3/2012,TIM,CD
382,),TIM,Z
382,.,O,Z
383,Meskipun,O,SC
383,berlatar,O,VB
383,belakang,O,NN
383,dari,O,IN
383,dunia,O,NN
383,artis,O,JJ
383,dan,O,CC
383,terkenal,O,VB
383,sebagai,O,IN
383,pelatih,O,NN
383,salsa,O,NN
383,",",O,Z
383,Vena,PER,SC
383,mengaku,O,VB
383,tidak,O,NEG
383,mengenakan,O,VB
383,rok,O,NN
383,mini,O,NN
383,sewaktu,O,NN
383,tugas,O,NN
383,di,O,IN
383,Gedung,LOC,NNP
383,DPR,LOC,NNP
383,.,O,Z
384,Memang,O,NN
384,saat,O,NN
384,ditemui,O,VB
384,",",O,Z
384,siang,O,NN
384,tadi,O,NN
384,Vena,PER,NNP
384,mengenakan,O,VB
384,pakaian,O,NN
384,terusan,O,NN
384,hingga,O,IN
384,selutut,O,NN
384,berwarna,O,NN
384,ungu,O,NN
384,.,O,Z
385,"""",O,Z
385,Saya,O,PRP
385,juga,O,RB
385,bingung,O,VB
385,siapa,O,WH
385,(,O,Z
385,anggota,O,NN
385,DPR,O,NNP
385,),O,Z
385,yang,O,SC
385,lagi,O,RB
385,dikomentari,O,VB
385,.,O,Z
385,Kalau,O,SC
385,rok,O,VB
385,saya,O,PRP
385,",",O,Z
385,mini,O,NN
385,enggak?,O,NNP
385,Mungkin,O,NNP
385,ada,O,VB
385,tamu,O,NN
385,atau,O,CC
385,staf,O,NN
385,.,O,Z
385,Tapi,O,CC
385,saya,O,PRP
385,enggak,O,VB
385,notice,O,FW
385,satu,O,CD
385,per,O,IN
385,satu,O,CD
385,",",O,Z
385,"""",O,Z
385,kata,O,VB
385,Vena,PER,NNP
385,yang,O,SC
385,hendak,O,NEG
385,mengikuti,O,VB
385,Sidang,O,NNP
385,Paripurna,O,NNP
385,tentang,O,IN
385,RUU,O,NN
385,usulan,O,NN
385,inisiatif,O,NN
385,badan,O,NN
385,legislasi,O,NN
385,DPR,ORG,NNP
385,RI,ORG,NNP
385,tentang,O,IN
385,perubahan,O,NN
385,atas,O,IN
385,UU,O,NNP
385,Jabatan,O,NNP
385,Notaris,O,NNP
385,.,O,Z
386,Vena,PER,SC
386,menilai,O,VB
386,alasan,O,NN
386,tata,O,NN
386,tertib,O,NN
386,itu,O,PR
386,diterapkan,O,VB
386,",",O,Z
386,yakni,O,SC
386,untuk,O,SC
386,menghormati,O,VB
386,lembaga,O,NN
386,DPR,ORG,NNP
386,yang,O,SC
386,merupakan,O,VB
386,perwakilan,O,NN
386,rakyat,O,NN
386,.,O,Z
387,"""",O,Z
387,Kalau,O,SC
387,peraturan,O,NN
387,dibuat,O,VB
387,",",O,Z
387,ya,O,UH
387,harus,O,MD
387,dipatuhi,O,VB
387,.,O,Z
387,Jangan,O,NNP
387,hanya,O,RB
387,heboh,O,VB
387,sesaat,O,NN
387,",",O,Z
387,"""",O,Z
387,imbuhnya,O,RB
387,.,O,Z
388,(,O,Z
388,Abdul,O,NNP
388,Qodir,O,NNP
388,),O,Z
389,Presiden,O,NNP
389,Susilo,PER,NNP
389,Bambang,PER,NNP
389,Yudhoyono,PER,NNP
389,(,PER,Z
389,SBY,PER,NNP
389,),PER,Z
389,belum,O,NEG
389,memberikan,O,VB
389,sinyal,O,NN
389,reshuffle,O,FW
389,Kabinet,O,FW
389,Indonesia,O,NNP
389,Bersatu,O,NNP
389,Jilid,O,NNP
389,II,O,NNP
389,.,O,Z
390,Sinyal,O,NN
390,perombakan,O,VB
390,kabinet,O,NN
390,otomatis,O,JJ
390,menyala,O,NN
390,bila,O,SC
390,Presiden,PER,NNP
390,SBY,PER,NNP
390,telah,O,MD
390,melakukan,O,VB
390,pertemuan,O,NN
390,empat,O,CD
390,mata,O,NN
390,dengan,O,IN
390,ketua,O,NN
390,umum,O,JJ
390,partai,O,NN
390,koalisi,O,NN
390,.,O,Z
391,"""",O,Z
391,Kesepakatan,O,NN
391,bulan,O,NN
391,Oktober,TIM,NNP
391,2009,TIM,CD
391,sangat,O,RB
391,jelas,O,JJ
391,",",O,Z
391,yakni,O,SC
391,sebelum,O,SC
391,perombakan,O,VB
391,harus,O,MD
391,ada,O,VB
391,pembicaraan,O,NN
391,dengan,O,IN
391,ketua,O,NN
391,umum,O,JJ
391,parpol,O,NN
391,.,O,Z
391,Sampai,O,SC
391,saat,O,NN
391,ini,O,PR
391,belum,O,NEG
391,pernah,O,MD
391,ada,O,VB
391,pembicaraan,O,NN
391,dari,O,IN
391,presiden,O,NN
391,tentang,O,IN
391,Partai,ORG,NNP
391,Golkar,ORG,NNP
391,",",O,Z
391,"""",O,Z
391,ujar,O,VB
391,Sekjen,O,NNP
391,Partai,O,NNP
391,Golkar,O,NNP
391,Idrus,PER,NNP
391,Marham,PER,NNP
391,saat,O,NN
391,jumpa,O,NN
391,pers,O,NN
391,di,O,IN
391,Gedung,LOC,NNP
391,DPR,LOC,NNP
391,",",LOC,Z
391,Jakarta,LOC,NNP
391,",",O,Z
391,Senin,TIM,NNP
391,(,TIM,Z
391,10/1/2011,TIM,CD
391,),TIM,Z
391,.,O,Z
392,Idrus,PER,NN
392,juga,O,RB
392,yakin,O,JJ
392,kadernya,O,RB
392,yang,O,SC
392,duduk,O,VB
392,di,O,IN
392,kabinet,O,NN
392,akan,O,MD
392,aman,O,JJ
392,dari,O,IN
392,isu,O,NN
392,perombakan,O,VB
392,(,O,Z
392,reshuffle,O,FW
392,),O,Z
392,.,O,Z
393,Keyakinan,O,NN
393,ini,O,PR
393,diklaim,O,VB
393,karena,O,SC
393,belum,O,NEG
393,ada,O,VB
393,pembicaraan,O,NN
393,antara,O,IN
393,Presiden,O,NNP
393,dengan,O,IN
393,elite,O,NN
393,Golkar,ORG,NNP
393,.,O,Z
394,Meski,O,SC
394,begitu,O,PR
394,",",O,Z
394,Idrus,PER,NNP
394,menegaskan,O,VB
394,partainya,O,RB
394,tetap,O,RB
394,siap,O,VB
394,bila,O,SC
394,Presiden,PER,NNP
394,SBY,PER,NNP
394,mengambil,O,VB
394,keputusan,O,NN
394,untuk,O,SC
394,mengganti,O,VB
394,menteri,O,NN
394,dari,O,IN
394,kader,O,NN
394,Golkar,ORG,NNP
394,.,O,Z
395,"""",O,Z
395,Tidak,O,NEG
395,ada,O,VB
395,halangan,O,NN
395,presiden,O,NN
395,menggunakan,O,VB
395,hak,O,NN
395,prerogatif,O,JJ
395,untuk,O,SC
395,mengganti,O,VB
395,kader,O,NN
395,di,O,IN
395,kabinet,O,NN
395,yang,O,SC
395,tidak,O,NEG
395,produktif,O,JJ
395,",",O,Z
395,"""",O,Z
395,tandasnya,O,RB
395,.,O,Z
396,(,O,Z
396,*,O,Z
396,),O,Z
397,Badan,ORG,NNP
397,Kehormatan,ORG,NNP
397,Dewan,ORG,NNP
397,Perwakilan,ORG,NNP
397,Rakyat,ORG,NNP
397,meminta,O,VB
397,Presiden,PER,NNP
397,Susilo,PER,NNP
397,Bambang,PER,NNP
397,Yudhoyono,PER,NNP
397,menegur,O,NNP
397,Menteri,O,NNP
397,Badan,O,NNP
397,Usaha,O,NNP
397,Milik,O,NNP
397,Negara,O,NNP
397,Dahlan,PER,NNP
397,Iskan,PER,NNP
397,.,O,Z
398,Badan,ORG,NNP
398,Kehormatan,ORG,NNP
398,menilai,O,VB
398,Dahlan,PER,NNP
398,Iskan,PER,NNP
398,sudah,O,MD
398,menimbulkan,O,VB
398,kegaduhan,O,NN
398,politik,O,NN
398,karena,O,SC
398,melaporkan,O,VB
398,kasus,O,NN
398,yang,O,SC
398,belum,O,NEG
398,jelas,O,JJ
398,bukti-bukti,O,VB
398,pendukungnya,O,RB
398,.,O,Z
399,"""",O,Z
399,Ketidakhati-hatian,O,NNP
399,Dahlan,PER,NNP
399,telah,O,MD
399,membuat,O,VB
399,ketidakharmonisan,O,NN
399,antara,O,IN
399,pemerintah,O,NN
399,dengan,O,IN
399,Dewan,O,NNP
399,",",O,Z
399,"""",O,Z
399,kata,O,VB
399,Ketua,O,NNP
399,BK,O,NNP
399,Muhammad,PER,NNP
399,Prakosa,PER,NNP
399,saat,O,NN
399,ditemui,O,VB
399,di,O,IN
399,kompleks,LOC,NN
399,DPR,LOC,NNP
399,",",LOC,Z
399,Senayan,LOC,NNP
399,",",O,Z
399,Kamis,TIM,NNP
399,",",TIM,Z
399,6,TIM,CD
399,Desember,TIM,NNP
399,2012,TIM,CD
399,.,O,Z
400,BK,ORG,NN
400,akan,O,MD
400,meminta,O,VB
400,pimpinan,O,NN
400,Dewan,O,NNP
400,agar,O,SC
400,mengirimkan,O,VB
400,surat,O,NN
400,kepada,O,IN
400,Presiden,PER,NNP
400,SBY,PER,NNP
400,.,O,Z
401,Dalam,O,IN
401,surat,O,NN
401,tersebut,O,PR
401,",",O,Z
401,dia,O,PRP
401,meminta,O,VB
401,SBY,PER,NNP
401,menegur,O,NNP
401,Dahlan,PER,NNP
401,agar,O,SC
401,tidak,O,NEG
401,melontarkan,O,VB
401,isu,O,NN
401,yang,O,SC
401,tidak,O,NEG
401,jelas,O,JJ
401,datanya,O,RB
401,.,O,Z
402,"""",O,Z
402,Dampak,O,NN
402,yang,O,SC
402,ditimbulkan,O,VB
402,merugikan,O,VB
402,anggota,O,NN
402,Dewan,O,NNP
402,",",O,Z
402,"""",O,Z
402,kata,O,VB
402,dia,O,PRP
402,.,O,Z
403,Politikus,O,NNP
403,Partai,O,NNP
403,Demokrasi,O,NNP
403,Indonesia,O,NNP
403,Perjuangan,O,NNP
403,ini,O,PR
403,menuturkan,O,VB
403,",",O,Z
403,pernyataan,O,NN
403,Dahlan,PER,NNP
403,Iskan,PER,NNP
403,yang,O,SC
403,kontroversial,O,JJ
403,menyebabkan,O,VB
403,hubungan,O,NN
403,pemerintah,O,NN
403,dengan,O,IN
403,Parlemen,O,NN
403,tidak,O,NEG
403,harmonis,O,JJ
403,.,O,Z
404,Selain,O,IN
404,itu,O,PR
404,",",O,Z
404,Badan,ORG,NNP
404,Kehormatan,ORG,NNP
404,juga,O,RB
404,menilai,O,VB
404,apa,O,WH
404,yang,O,SC
404,dilakukan,O,VB
404,Dahlan,PER,NNP
404,sudah,O,MD
404,membuat,O,VB
404,kegaduhan,O,NN
404,politik,O,NN
404,.,O,Z
405,"""",O,Z
405,Kami,O,PRP
405,meminta,O,VB
405,Presiden,O,NNP
405,mengingatkan,O,VB
405,beliau,O,NN
405,",",O,Z
405,"""",O,Z
405,ujarnya,O,RB
405,.,O,Z
406,Kemarin,O,NNP
406,Badan,O,NNP
406,Kehormatan,O,NNP
406,melakukan,O,VB
406,rapat,O,NN
406,tertutup,O,VB
406,ihwal,O,NN
406,laporan,O,NN
406,Dahlan,PER,NNP
406,Iskan,PER,NNP
406,.,O,Z
407,Dalam,O,IN
407,putusannya,O,NN
407,",",O,Z
407,Badan,ORG,NNP
407,Kehormatan,ORG,NNP
407,menyatakan,O,VB
407,ada,O,VB
407,empat,O,CD
407,anggota,O,NN
407,yang,O,SC
407,terbukti,O,VB
407,melanggar,O,VB
407,etika,O,SC
407,.,O,Z
408,Namun,O,CC
408,",",O,Z
408,pelanggaran,O,NN
408,etika,O,SC
408,yang,O,SC
408,dilakukan,O,VB
408,empat,O,CD
408,anggota,O,NN
408,Dewan,O,NN
408,ini,O,PR
408,termasuk,O,VB
408,kategori,O,NN
408,ringan,O,JJ
408,dan,O,CC
408,sedang,O,MD
408,.,O,Z
409,"""",O,Z
409,Tidak,O,NEG
409,ada,O,VB
409,yang,O,SC
409,berat,O,JJ
409,",",O,Z
409,"""",O,Z
409,kata,O,VB
409,Prakosa,PER,NNP
409,.,O,Z
410,Selain,O,IN
410,itu,O,PR
410,",",O,Z
410,BK,ORG,NN
410,juga,O,RB
410,akan,O,MD
410,merehabilitasi,O,VB
410,tiga,O,CD
410,nama,O,NN
410,anggota,O,NN
410,Dewan,O,NNP
410,yang,O,SC
410,tidak,O,NEG
410,terbukti,O,VB
410,melanggar,O,VB
410,etika,O,SC
410,.,O,Z
411,BK,O,NN
411,juga,O,RB
411,menyebutkan,O,VB
411,ada,O,VB
411,tiga,O,CD
411,nama,O,NN
411,yang,O,SC
411,sudah,O,MD
411,disalah,O,VB
411,indentifikasi,O,NN
411,oleh,O,IN
411,Dahlan,PER,NNP
411,",",O,Z
411,yaitu,O,SC
411,Andi,PER,NNP
411,Timo,PER,NNP
411,Pangerang,PER,NNP
411,",",O,Z
411,Muhammad,PER,NNP
411,Hatta,PER,NNP
411,",",O,Z
411,dan,O,CC
411,M,PER,NNP
411,Ichlas,PER,NNP
411,El,PER,NNP
411,Qudsi,PER,NNP
411,.,O,Z
412,Politikus,O,NNP
412,Partai,O,NNP
412,Demokrat,O,NNP
412,",",O,Z
412,Didi,PER,NNP
412,Irawadi,PER,NNP
412,Syamsuddin,PER,NNP
412,",",O,Z
412,mengatakan,O,VB
412,partainya,O,RB
412,merasa,O,VB
412,kecewa,O,NN
412,dengan,O,IN
412,salah,O,JJ
412,satu,O,CD
412,keputusan,O,NN
412,Musyawarah,O,NNP
412,Nasional,O,NNP
412,Partai,ORG,NNP
412,Golkar,ORG,NNP
412,versi,O,NNP
412,Aburizal,O,NNP
412,Bakrie,O,NNP
412,",",O,Z
412,yang,O,SC
412,menolak,O,VB
412,peraturan,O,NN
412,pemerintah,O,NN
412,penggganti,O,NN
412,undang-undang,O,NN
412,tentang,O,IN
412,pemilihan,O,NN
412,kepala,O,NN
412,daerah,O,NN
412,langsung,O,RB
412,.,O,Z
413,"""",O,Z
413,Kami,O,PRP
413,terkejut,O,VB
413,",",O,Z
413,"""",O,Z
413,kata,O,VB
413,Didi,PER,NNP
413,dalam,O,IN
413,sebuah,O,NND
413,diskusi,O,NN
413,di,O,IN
413,restoran,LOC,NN
413,Gado-gado,LOC,NNP
413,Boplo,LOC,NNP
413,",",LOC,Z
413,Jakarta,LOC,NNP
413,",",O,Z
413,Sabtu,TIM,NNP
413,",",TIM,Z
413,6,TIM,CD
413,Desember,TIM,NNP
413,2014,TIM,CD
413,.,O,Z
414,(,O,Z
414,Baca:,O,NNP
414,Hatta,O,NNP
414,Emoh,O,NNP
414,Khianati,O,NNP
414,SBY,O,NNP
414,soal,O,NNP
414,Perpu,O,NNP
414,Pilkada,O,NNP
414,),O,Z
414,Menurut,O,IN
414,Didi,PER,NNP
414,",",O,Z
414,kesepakatan,O,NN
414,yang,O,SC
414,diteken,O,NN
414,Aburizal,PER,NNP
414,dan,O,CC
414,ketua,O,NN
414,umum,O,JJ
414,partai-partai,O,VB
414,pendukung,O,NN
414,Prabowo,PER,NNP
414,Subianto,PER,NNP
414,bersama,O,IN
414,Ketua,O,NNP
414,Umum,O,NNP
414,Demokrat,O,NNP
414,Susilo,PER,NNP
414,Bambang,PER,NNP
414,Yudhoyono,PER,NNP
414,untuk,O,SC
414,menyetujui,O,VB
414,perpu,O,NN
414,itu,O,PR
414,harus,O,MD
414,dijalankan,O,VB
414,.,O,Z
415,"""",O,Z
415,Tidak,O,NEG
415,boleh,O,MD
415,diingkari,O,VB
415,",",O,Z
415,"""",O,Z
415,kata,O,VB
415,Irawadi,PER,NNP
415,.,O,Z
416,Didi,PER,NNP
